idea_id,idea_description,industry,sub_industry,problem,target_audience,solution,technology,business_model,revenue_model,geographic_market,market_need,competition_level,source,source_url
IDEA-00020,"[DERIVED] Polleverywhere is a real, publicly-recorded MarTech company (category tags: |Real Time|Public Relations|Messaging|Polling|) headquartered in an unspecified country.",MarTech,|Real Time|Public Relations|Messaging|Polling|,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,,Unknown - no external source,Unknown,"Kaggle: startup-investments-crunchbase (unique to this source) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/arindam235/startup-investments-crunchbase
IDEA-00021,"[DERIVED] Jewel Toned is a real, publicly-recorded E-commerce company (category tags: E-Commerce|Fashion|Lingerie) headquartered in United States.",E-commerce,E-Commerce|Fashion|Lingerie,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,United States,Unknown - no external source,High (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00022,"[DERIVED] Study2gether is a real, publicly-recorded EdTech company (category tags: Education|High Schools) headquartered in Spain.",EdTech,Education|High Schools,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Spain,Unknown - no external source,Low (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00023,"[DERIVED] Transcatheter Technologies is a real, publicly-recorded HealthTech company (category tags: Health Care) headquartered in Germany.",HealthTech,Health Care,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Germany,Unknown - no external source,Medium (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00024,"[DERIVED] KZO Innovations is a real, publicly-recorded Media & Entertainment company (category tags: Collaboration|Software|Video) headquartered in United States.",Media & Entertainment,Collaboration|Software|Video,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,United States,Unknown - no external source,High (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00025,"[DERIVED] Choice Strategies is a real, publicly-recorded FinTech company (category tags: Consumers|Design|Financial Services) headquartered in an unspecified country.",FinTech,Consumers|Design|Financial Services,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,,Unknown - no external source,Unknown,"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00026,"[DERIVED] Cappella Medical Devices is a real, publicly-recorded HealthTech company (category tags: Health Care) headquartered in Ireland.",HealthTech,Health Care,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Ireland,Unknown - no external source,Medium (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00027,"[DERIVED] MIND C.T.I. Ltd is a real, publicly-recorded SaaS company (category tags: Software) headquartered in United States.",SaaS,Software,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,United States,Unknown - no external source,High (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00028,"[DERIVED] Vidgyor is a real, publicly-recorded SaaS company (category tags: Software) headquartered in India.",SaaS,Software,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,India,Unknown - no external source,Medium (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00029,"[DERIVED] baseclick is a real, publicly-recorded HealthTech company (category tags: Biotechnology) headquartered in Germany.",HealthTech,Biotechnology,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Germany,Unknown - no external source,Medium (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00030,"[DERIVED] Healthcare Bluebook is a real, publicly-recorded HealthTech company (category tags: Health and Wellness) headquartered in United States.",HealthTech,Health and Wellness,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,United States,Unknown - no external source,High (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00031,"[DERIVED] NebuAd is a real, publicly-recorded MarTech company (category tags: Advertising) headquartered in United States.",MarTech,Advertising,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,United States,Unknown - no external source,High (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00032,"[DERIVED] Helpmycash is a real, publicly-recorded FinTech company (category tags: Banking|Finance) headquartered in Spain.",FinTech,Banking|Finance,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Spain,Unknown - no external source,Low (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00033,"[DERIVED] EventSorbet is a real, publicly-recorded FoodTech company (category tags: Career Planning|Events|Meeting Software|Online Reservations|Restaurants|SaaS|Weddings) headquartered in United States.",FoodTech,Career Planning|Events|Meeting Software|Online Reservations|Restaurants|SaaS|Weddings,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,United States,Unknown - no external source,High (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00034,"[DERIVED] Toona Technologies OÜ is a real, publicly-recorded HealthTech company (category tags: Fitness|Health and Wellness|Services) headquartered in Estonia.",HealthTech,Fitness|Health and Wellness|Services,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Estonia,Unknown - no external source,Low (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00035,"[DERIVED] Bibblio is a real, publicly-recorded EdTech company (category tags: Digital Media|Education) headquartered in United Kingdom.",EdTech,Digital Media|Education,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,United Kingdom,Unknown - no external source,Medium (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00036,"[DERIVED] International Partnership For Microbicides is a real, publicly-recorded HealthTech company (category tags: Non Profit|Pharmaceuticals) headquartered in United States.",HealthTech,Non Profit|Pharmaceuticals,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,United States,Unknown - no external source,High (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00037,"[DERIVED] Knobias is a real, publicly-recorded FinTech company (category tags: Financial Services|News) headquartered in United States.",FinTech,Financial Services|News,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,United States,Unknown - no external source,High (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00038,"[DERIVED] Igor is a real, publicly-recorded SaaS company (category tags: Software) headquartered in United States.",SaaS,Software,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,United States,Unknown - no external source,High (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00039,"[DERIVED] GrowBLOX is a real, publicly-recorded HealthTech company (category tags: Biotechnology|Manufacturing|Medical) headquartered in United States.",HealthTech,Biotechnology|Manufacturing|Medical,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,United States,Unknown - no external source,High (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00040,"[DERIVED] Umbel is a real, publicly-recorded MarTech company (category tags: Ad Targeting|Analytics|Big Data|Digital Media|Internet Marketing|Market Research|Publishing|Social Media) headquartered in United States.",MarTech,Ad Targeting|Analytics|Big Data|Digital Media|Internet Marketing|Market Research|Publishing|Social Media,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,United States,Unknown - no external source,High (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00041,"[DERIVED] Yovia is a real, publicly-recorded MarTech company (category tags: Curated Web|Social Media|Social Media Marketing) headquartered in United States.",MarTech,Curated Web|Social Media|Social Media Marketing,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,United States,Unknown - no external source,High (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00042,"[DERIVED] Targeted Growth is a real, publicly-recorded HealthTech company (category tags: Agriculture|Biotechnology|Energy) headquartered in United States.",HealthTech,Agriculture|Biotechnology|Energy,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,United States,Unknown - no external source,High (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00043,"[DERIVED] Apartment List is a real, publicly-recorded PropTech company (category tags: Curated Web|Online Rental|Real Estate) headquartered in United States.",PropTech,Curated Web|Online Rental|Real Estate,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,United States,Unknown - no external source,High (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00044,"[DERIVED] Everdream is a real, publicly-recorded SaaS company (category tags: Databases|Software|Technology) headquartered in United States.",SaaS,Databases|Software|Technology,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,United States,Unknown - no external source,High (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00045,"[DERIVED] Descomplica is a real, publicly-recorded EdTech company (category tags: Education|Entrepreneur|Internet|Video) headquartered in Brazil.",EdTech,Education|Entrepreneur|Internet|Video,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Brazil,Unknown - no external source,Medium (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00046,"[DERIVED] Avalon Healthcare Holdings is a real, publicly-recorded HealthTech company (category tags: Health and Wellness) headquartered in United States.",HealthTech,Health and Wellness,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,United States,Unknown - no external source,High (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment) (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
IDEA-00047,"[DERIVED] Dynosense is a real, publicly-recorded HealthTech company (category tags: Elder Care|Health and Wellness) headquartered in United States.",HealthTech,Elder Care|Health and Wellness,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,Unknown - not stated in source data,United States,Unknown - no external source,High (dataset-derived),"Kaggle: big-startup-secsees-fail-dataset-from-crunchbase (idea_description text is DERIVED, not sourced verbatim)",https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase
